away,cross,home,ones,twos,year
Argentina,3.29,Germany,2.36,3.35,2014
Netherlands,3.71,Brazil,2.16,3.36,2014
Argentina,3.23,Netherlands,3.07,2.54,2014
Germany,3.21,Brazil,2.65,2.93,2014
Costa Rica,4.16,Netherlands,1.53,7.15,2014
Belgium,3.4,Argentina,1.99,4.24,2014
Colombia,3.8,Brazil,1.77,4.91,2014
Germany,3.15,France,2.84,2.77,2014
USA,3.41,Belgium,2.02,4.08,2014
Switzerland,4.16,Argentina,1.57,6.46,2014
Algeria,5.66,Germany,1.32,10.41,2014
Nigeria,4.66,France,1.41,8.81,2014
Greece,3.08,Costa Rica,2.71,2.95,2014
Mexico,3.38,Netherlands,2.13,3.74,2014
Uruguay,3.37,Colombia,2.13,3.73,2014
Chile,4.52,Brazil,1.53,6.31,2014
Russia,3.72,Algeria,3.69,2.02,2014
Belgium,3.55,South Korea,4.66,1.85,2014
Ghana,4.85,Portugal,1.76,3.8,2014
Germany,3.14,USA,8.32,1.68,2014
France,4.17,Ecuador,5.54,1.62,2014
Switzerland,4.48,Honduras,7.14,1.49,2014
Iran,3.58,Bosnia & Herzegovina,2.22,3.28,2014
Argentina,4.25,Nigeria,9.39,1.44,2014
Ivory Coast,3.62,Greece,4.04,1.95,2014
Colombia,3.76,Japan,3.52,2.06,2014
England,4.02,Costa Rica,4.45,1.78,2014
Uruguay,3.52,Italy,2.54,2.78,2014
Brazil,9.51,Cameroon,22.44,1.13,2014
Mexico,3.5,Croatia,2.7,2.64,2014
Spain,5.36,Australia,7.94,1.38,2014
Chile,3.55,Netherlands,2.68,2.62,2014
Portugal,4.15,USA,4.56,1.74,2014
Algeria,3.3,South Korea,2.51,2.97,2014
Russia,3.38,Belgium,2.23,3.42,2014
Bosnia & Herzegovina,3.68,Nigeria,4.33,1.87,2014
Ghana,5.62,Germany,1.33,9.31,2014
Iran,8.75,Argentina,1.14,21.16,2014
Ecuador,4.24,Honduras,5.79,1.6,2014
France,3.54,Switzerland,4.61,1.86,2014
Costa Rica,4.06,Italy,1.57,6.59,2014
Greece,3.4,Japan,2.4,3.05,2014
England,3.84,Uruguay,3.82,1.94,2014
Ivory Coast,3.56,Colombia,2.03,3.79,2014
Croatia,3.92,Cameroon,5.5,1.67,2014
Chile,4.48,Spain,1.58,5.61,2014
Netherlands,6.6,Australia,13.23,1.24,2014
South Korea,3.63,Russia,1.82,4.7,2014
Mexico,5.32,Brazil,1.35,9.41,2014
Algeria,5.28,Belgium,1.33,10.49,2014
Argentina,3.29,Germany,2.36,3.35,2014
Netherlands,3.71,Brazil,2.16,3.36,2014
Argentina,3.23,Netherlands,3.07,2.54,2014
Germany,3.21,Brazil,2.65,2.93,2014
Costa Rica,4.16,Netherlands,1.53,7.15,2014
Belgium,3.4,Argentina,1.99,4.24,2014
Colombia,3.8,Brazil,1.77,4.91,2014
Germany,3.15,France,2.84,2.77,2014
USA,3.41,Belgium,2.02,4.08,2014
Switzerland,4.16,Argentina,1.57,6.46,2014
Algeria,5.66,Germany,1.32,10.41,2014
Nigeria,4.66,France,1.41,8.81,2014
Greece,3.08,Costa Rica,2.71,2.95,2014
Mexico,3.38,Netherlands,2.13,3.74,2014
Uruguay,3.37,Colombia,2.13,3.73,2014
Chile,4.52,Brazil,1.53,6.31,2014
Russia,3.72,Algeria,3.69,2.02,2014
Belgium,3.55,South Korea,4.66,1.85,2014
Ghana,4.85,Portugal,1.76,3.8,2014
Germany,3.14,USA,8.32,1.68,2014
France,4.17,Ecuador,5.54,1.62,2014
Switzerland,4.48,Honduras,7.14,1.49,2014
Iran,3.58,Bosnia & Herzegovina,2.22,3.28,2014
Argentina,4.25,Nigeria,9.39,1.44,2014
Ivory Coast,3.62,Greece,4.04,1.95,2014
Colombia,3.76,Japan,3.52,2.06,2014
England,4.02,Costa Rica,4.45,1.78,2014
Uruguay,3.52,Italy,2.54,2.78,2014
Brazil,9.51,Cameroon,22.44,1.13,2014
Mexico,3.5,Croatia,2.7,2.64,2014
Spain,5.36,Australia,7.94,1.38,2014
Chile,3.55,Netherlands,2.68,2.62,2014
Portugal,4.15,USA,4.56,1.74,2014
Algeria,3.3,South Korea,2.51,2.97,2014
Russia,3.38,Belgium,2.23,3.42,2014
Bosnia & Herzegovina,3.68,Nigeria,4.33,1.87,2014
Ghana,5.62,Germany,1.33,9.31,2014
Iran,8.75,Argentina,1.14,21.16,2014
Ecuador,4.24,Honduras,5.79,1.6,2014
France,3.54,Switzerland,4.61,1.86,2014
Costa Rica,4.06,Italy,1.57,6.59,2014
Greece,3.4,Japan,2.4,3.05,2014
England,3.84,Uruguay,3.82,1.94,2014
Ivory Coast,3.56,Colombia,2.03,3.79,2014
Croatia,3.92,Cameroon,5.5,1.67,2014
Chile,4.48,Spain,1.58,5.61,2014
Netherlands,6.6,Australia,13.23,1.24,2014
South Korea,3.63,Russia,1.82,4.7,2014
